                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3667,                 1.0325,                 1.0522,                 1.8258,                 1.4058,                 1.0348,                0.49038,                0.38648,                0.39526,                0.23778,                 1.3159,                0.99176,                 1.0335,                 1.7055,                 1.3471,                  1.028,              0.0059905,              0.0059905,              0.0059905
                     84,                  1.349,                  1.016,                 1.0426,                 1.8032,                 1.3846,                 1.0293,                0.49155,                0.38973,                0.39837,                0.23967,                 1.3156,                0.99012,                 1.0332,                 1.7075,                   1.34,                 1.0286,               0.005941,               0.005941,               0.005941
                     85,                 1.3783,                 1.0398,                 1.0487,                 1.8332,                 1.4062,                 1.0321,                0.49183,                 0.3905,                0.39935,                0.24097,                 1.3145,                 0.9893,                 1.0332,                 1.7032,                 1.3406,                 1.0275,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3559,                 1.0155,                 1.0464,                 1.8077,                 1.3754,                 1.0306,                0.49732,                0.38819,                0.40004,                0.24054,                 1.3127,                0.98623,                 1.0317,                 1.7017,                 1.3391,                 1.0266,               0.005842,               0.005842,               0.005842
                     87,                 1.3584,                 1.0268,                 1.0455,                 1.8116,                 1.3924,                 1.0303,                 0.4933,                0.39111,                0.39996,                0.23988,                 1.3131,                0.98618,                 1.0323,                 1.7029,                 1.3393,                 1.0272,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3536,                 1.0163,                 1.0416,                 1.8136,                 1.3831,                 1.0269,                0.50369,                0.38645,                 0.4006,                0.24037,                 1.3131,                0.98501,                 1.0318,                 1.7037,                 1.3363,                 1.0265,               0.005743,               0.005743,               0.005743
                     89,                 1.3631,                 1.0213,                 1.0434,                 1.8194,                 1.3841,                 1.0265,                0.49631,                0.39199,                 0.4028,                0.24189,                 1.3124,                0.98572,                 1.0315,                 1.7031,                 1.3341,                 1.0263,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.3634,                 1.0231,                 1.0458,                 1.8137,                 1.3792,                 1.0296,                0.49578,                0.39591,                0.40209,                0.24182,                 1.3129,                0.98441,                 1.0318,                 1.7011,                 1.3329,                 1.0259,               0.005644,               0.005644,               0.005644
                     91,                 1.3474,                 1.0169,                 1.0408,                 1.7911,                 1.3746,                  1.028,                0.49659,                0.39572,                0.40315,                0.24211,                 1.3114,                0.98363,                 1.0314,                 1.7006,                 1.3351,                 1.0254,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3438,                 1.0071,                 1.0441,                  1.795,                 1.3644,                 1.0299,                0.50202,                0.39418,                0.40313,                0.24214,                 1.3105,                0.98303,                 1.0307,                    1.7,                 1.3354,                 1.0255,               0.005545,               0.005545,               0.005545
                     93,                 1.3621,                 1.0131,                 1.0424,                 1.8222,                 1.3732,                 1.0269,                0.49903,                0.39493,                0.40456,                0.24379,                   1.31,                0.98333,                 1.0306,                 1.6982,                 1.3346,                 1.0253,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.3542,                  1.009,                 1.0455,                 1.8122,                 1.3769,                 1.0307,                0.51225,                0.38983,                0.40487,                0.24398,                 1.3094,                0.98128,                 1.0304,                  1.698,                 1.3326,                 1.0254,               0.005446,               0.005446,               0.005446
                     95,                 1.3551,                 1.0107,                 1.0452,                 1.8086,                 1.3766,                 1.0304,                0.51093,                0.39232,                0.40684,                0.24499,                 1.3083,                0.97895,                 1.0299,                 1.6948,                 1.3282,                 1.0245,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3312,                0.99766,                 1.0399,                 1.7758,                 1.3557,                 1.0268,                0.50498,                0.39336,                0.40628,                0.24483,                 1.3092,                0.97899,                 1.0296,                 1.6954,                 1.3288,                 1.0244,               0.005347,               0.005347,               0.005347
                     97,                 1.3493,                 1.0059,                  1.044,                 1.8065,                 1.3658,                 1.0292,                0.50594,                0.39484,                0.40644,                0.24461,                 1.3088,                0.97878,                 1.0297,                 1.6966,                 1.3288,                 1.0246,              0.0052975,              0.0052975,              0.0052975
